country,total_population,gdp,defense_budget,external_debt,total_manpower,active_personnel,reserve_personnel,air_force_personnel,army_personnel,navy_personnel,total_aircraft,attack_aircraft,fighter_aircraft,transport_aircraft,helicopters,trainer_aircraft,special_mission_aircraft,attack_helicopters,tanker_aircraft,naval_assets,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessel,mine_warfare,tanks,self_propelled_artillery,towed_artillery,rocket_artillery,power_index,total_military_assets,assets_per_capita,budget_to_gdp_ratio,rank,power_index_rank_gap
Morocco,37387585.0,350594000000.0,16100000000.0,42262000000.0,17946041.0,400000.0,250000.0,13000.0,500000.0,9300.0,271.0,0.0,84.0,31.0,73.0,77.0,4.0,6.0,2.0,100.0,0.0,0.0,0.0,6.0,1.0,0.0,84.0,0.0,1346.0,544.0,188.0,185.0,1.0368,1717.0,9.567569805507522e-05,0.045922063697610344,56,55
Angola,37202061.0,278239000000.0,31200000000.0,45299000000.0,7440412.0,107000.0,0.0,6000.0,100000.0,1500.0,278.0,6.0,67.0,32.0,115.0,56.0,2.0,14.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,319.0,25.0,575.0,116.0,1.1045,629.0,8.453832932907479e-05,0.1121338130168668,59,58
Montenegro,599849.0,17375000000.0,204000000.0,3643000000.0,143964.0,2350.0,0.0,480.0,1500.0,550.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,12.0,12.0,2.9782,30.0,0.00020838542969075602,0.011741007194244604,128,127
New Zealand,5161211.0,257117000000.0,2455949332.0,230651410000.0,2219321.0,10050.0,3300.0,2875.0,6345.0,2873.0,47.0,0.0,0.0,7.0,21.0,13.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,31.0,0.0,1.9258,55.0,2.4782354603052014e-05,0.009551874562942162,90,89
France,68374591.0,3732000000000.0,67232395000.0,7691315390000.0,30084820.0,264000.0,43444.0,44120.0,141600.0,47000.0,974.0,0.0,223.0,118.0,452.0,140.0,44.0,67.0,15.0,166.0,1.0,3.0,11.0,5.0,0.0,9.0,22.0,19.0,427.0,74.0,0.0,9.0,0.1798,1567.0,5.2086068655222135e-05,0.018015111200428726,6,5
Brazil,220051512.0,4165000000000.0,26400000000.0,198582000000.0,112226271.0,376000.0,1340000.0,81000.0,1212217.0,80505.0,495.0,30.0,44.0,107.0,186.0,124.0,25.0,0.0,0.0,69.0,0.0,1.0,0.0,8.0,2.0,6.0,22.0,4.0,294.0,149.0,412.0,82.0,0.2374,858.0,7.645268726785015e-06,0.006338535414165666,11,10
North Macedonia,2135622.0,43844000000.0,421527100.0,5637000000.0,948216.0,10010.0,60000.0,950.0,70011.0,0.0,20.0,0.0,0.0,0.0,10.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,18.0,2.4956,20.0,2.1092240586533027e-05,0.009614248243773379,114,113
Central African Republic,5650957.0,5926000000.0,300000000.0,724179000.0,2203873.0,30000.0,0.0,100.0,30000.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2381,8.0,3.62997323348487e-06,0.05062436719541006,143,142
Uzbekistan,36520593.0,379989000000.0,6210000000.0,25714000000.0,18990708.0,120000.0,0.0,15000.0,95000.0,550.0,159.0,13.0,26.0,12.0,101.0,7.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,177.0,236.0,108.0,0.9908,629.0,3.3121461295703144e-05,0.016342578337793987,53,52
Yemen,32140443.0,18719000000.0,405187500.0,6492000000.0,12213368.0,33350.0,0.0,3850.0,56350.0,3250.0,160.0,0.0,68.0,3.0,59.0,30.0,0.0,14.0,0.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,12.0,60.0,30.0,2.1617,186.0,1.5229214414893581e-05,0.021645787702334527,98,97
Russia,140820810.0,6089000000000.0,212638272000.0,226475750000.0,69002197.0,1320000.0,2000000.0,203376.0,600000.0,160000.0,4237.0,698.0,861.0,458.0,1643.0,530.0,137.0,556.0,18.0,747.0,1.0,0.0,13.0,12.0,79.0,66.0,70.0,45.0,5630.0,3603.0,5920.0,2486.0,0.0791,10614.0,0.00015382118920068588,0.034921706684184595,2,1
Zimbabwe,17150352.0,57391000000.0,1976800000.0,6671000000.0,6517134.0,29000.0,0.0,5000.0,25000.0,0.0,80.0,9.0,9.0,14.0,28.0,20.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,2.2801,140.0,2.1481835420293646e-05,0.034444425084072416,105,104
Jordan,11174024.0,109986000000.0,2668500000.0,21058000000.0,3463947.0,114500.0,100000.0,14000.0,146000.0,5500.0,279.0,10.0,44.0,12.0,159.0,66.0,11.0,44.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,1508.0,478.0,80.0,84.0,1.5581,1814.0,0.0005236800678532321,0.02426217882275926,74,73
Chile,18664652.0,596556000000.0,6800000000.0,235950000000.0,8959033.0,80000.0,40000.0,7645.0,80000.0,25000.0,274.0,0.0,45.0,33.0,86.0,92.0,18.0,0.0,5.0,130.0,0.0,0.0,0.0,8.0,0.0,4.0,40.0,0.0,386.0,48.0,249.0,9.0,0.8704,790.0,8.817915951420203e-05,0.011398762228525067,49,48
Luxembourg,671254.0,86871000000.0,1530685000.0,5203000000000.0,154388.0,1200.0,0.0,0.0,1200.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4429,1.0,6.4771873461668e-06,0.017620206973558494,110,109
Mongolia,3281676.0,59221000000.0,1590000000.0,8379000000.0,1870555.0,35000.0,230000.0,1500.0,35000.0,0.0,8.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,500.0,130.0,1.9987,428.0,0.0002288090967653985,0.026848584117120617,93,92
Oman,3901992.0,193591000000.0,8364000000.0,55986700000.0,1482757.0,100000.0,0.0,6145.0,100000.0,4200.0,128.0,10.0,29.0,9.0,31.0,45.0,4.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,5.0,0.0,8.0,0.0,264.0,24.0,144.0,0.0,1.8823,409.0,0.0002758375107991397,0.04320448781193341,86,85
Syria,23865423.0,98858000000.0,145925000.0,4441250000.0,15273871.0,100000.0,0.0,7500.0,100000.0,3250.0,104.0,5.0,52.0,2.0,39.0,8.0,0.0,7.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,168.0,60.0,0.0,0.0,1.8861,284.0,1.859384565968902e-05,0.00147610714357968,87,86
Republic Of The Congo,6097665.0,39147000000.0,933360000.0,6360000000.0,2256136.0,10000.0,0.0,675.0,9325.0,0.0,14.0,0.0,2.0,4.0,8.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,3.0,38.0,30.0,2.6259,79.0,3.501561962576724e-05,0.023842440033719058,117,116
Algeria,47022473.0,722912000000.0,25000000000.0,4764000000.0,22570787.0,130000.0,150000.0,14000.0,280000.0,15000.0,620.0,42.0,111.0,63.0,300.0,90.0,10.0,74.0,4.0,111.0,0.0,0.0,0.0,8.0,8.0,6.0,75.0,3.0,1485.0,224.0,483.0,188.0,0.4849,2216.0,9.818000586333122e-05,0.034582355805409234,27,26
Taiwan,23595274.0,1743000000000.0,31180000000.0,229900000000.0,12269542.0,230000.0,1657000.0,125000.0,94000.0,107000.0,720.0,0.0,258.0,19.0,239.0,215.0,18.0,91.0,0.0,91.0,0.0,0.0,4.0,21.0,7.0,4.0,36.0,10.0,1090.0,488.0,1360.0,223.0,0.3927,1901.0,0.00015493650863251457,0.017888697647733792,22,21
Moldova,3599528.0,39342000000.0,114114000.0,2637000000.0,2159717.0,6500.0,2000.0,700.0,4000.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,67.0,11.0,3.6225,3.0,1.3890708828980834e-06,0.0029005642824462404,136,135
Thailand,69920998.0,1558000000000.0,6006660000.0,37065000000.0,36358919.0,360850.0,200000.0,46000.0,245000.0,69850.0,496.0,26.0,73.0,52.0,258.0,134.0,25.0,7.0,0.0,304.0,0.0,1.0,0.0,7.0,5.0,0.0,254.0,5.0,744.0,59.0,595.0,17.0,0.4458,1544.0,4.2465508944311575e-05,0.0038553658536585366,24,23
Qatar,2552088.0,317064000000.0,11950000000.0,205700000000.0,638022.0,26550.0,4000.0,2000.0,12500.0,2500.0,263.0,6.0,115.0,12.0,85.0,45.0,0.0,24.0,0.0,125.0,0.0,0.0,0.0,0.0,4.0,0.0,107.0,0.0,62.0,46.0,12.0,16.0,1.4096,450.0,0.000705304832748714,0.03768955163626271,71,70
Armenia,2976765.0,60909000000.0,1480000000.0,6002000000.0,1666988.0,65000.0,210000.0,5000.0,65000.0,0.0,69.0,14.0,4.0,3.0,36.0,12.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,104.0,193.0,100.0,2.2016,178.0,0.00010677941292918725,0.024298543729169744,101,100
Latvia,1801246.0,72516000000.0,42000000.0,48598440000.0,810561.0,17870.0,38000.0,250.0,55870.0,1000.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,0.0,47.0,0.0,0.0,2.2316,21.0,2.590798224933102e-05,0.0005791825252358101,102,101
Germany,84119100.0,5247000000000.0,127400090000.0,6862470230000.0,38694786.0,184324.0,860000.0,27725.0,63000.0,15531.0,569.0,63.0,127.0,55.0,292.0,16.0,27.0,49.0,3.0,96.0,0.0,0.0,0.0,11.0,6.0,6.0,54.0,12.0,296.0,134.0,0.0,33.0,0.2463,961.0,2.4835387382682513e-05,0.024280558414332,12,11
Japan,123201945.0,5715000000000.0,58000000000.0,5147667910000.0,52976836.0,251500.0,56000.0,50000.0,206700.0,50800.0,1429.0,47.0,217.0,53.0,583.0,399.0,135.0,118.0,10.0,158.0,0.0,4.0,41.0,8.0,0.0,23.0,6.0,18.0,734.0,193.0,480.0,99.0,0.1876,2321.0,4.381160097971876e-05,0.010148731408573928,7,6
Poland,38746310.0,1649000000000.0,55865141600.0,425641700000.0,18985692.0,250000.0,350000.0,16500.0,110000.0,8240.0,457.0,12.0,58.0,44.0,224.0,112.0,11.0,29.0,0.0,63.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,29.0,798.0,593.0,0.0,298.0,0.3891,1318.0,6.942069849231727e-05,0.03387819381443299,21,20
Ecuador,18309984.0,252728000000.0,2963400000.0,39658000000.0,8422593.0,41250.0,118000.0,6200.0,25650.0,9400.0,99.0,0.0,0.0,20.0,43.0,34.0,8.0,0.0,0.0,30.0,0.0,0.0,0.0,2.0,6.0,2.0,5.0,0.0,202.0,5.0,106.0,24.0,1.4479,331.0,3.929906146480069e-05,0.011725649710360546,72,71
Albania,3107100.0,51360000000.0,720037190.0,5363000000.0,1522479.0,7500.0,0.0,650.0,2335.0,1000.0,20.0,0.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,10.0,0.0,270.0,1.7258,53.0,3.481164600628317e-05,0.014019415693146417,77,76
Turkey,84119531.0,3018000000000.0,51400000000.0,149654000000.0,42985080.0,481000.0,380000.0,52850.0,401500.0,100000.0,1101.0,0.0,201.0,84.0,509.0,301.0,27.0,111.0,7.0,192.0,0.0,1.0,0.0,17.0,9.0,14.0,40.0,11.0,2284.0,1045.0,635.0,237.0,0.1975,3577.0,8.321492015369054e-05,0.0170311464546057,9,8
Egypt,111247248.0,1958000000000.0,5193500000.0,117272000000.0,45611372.0,438500.0,479000.0,50000.0,685000.0,50000.0,1088.0,90.0,242.0,53.0,348.0,344.0,11.0,100.0,0.0,149.0,0.0,2.0,0.0,13.0,7.0,8.0,61.0,17.0,3620.0,1056.0,962.0,648.0,0.3651,4857.0,0.00010648660163083891,0.0026524514811031665,19,18
India,1409128296.0,14244000000000.0,109000000000.0,212728000000.0,662290299.0,1431000.0,1000000.0,289000.0,2148000.0,148869.0,2183.0,124.0,476.0,277.0,594.0,334.0,72.0,79.0,6.0,343.0,2.0,0.0,13.0,18.0,21.0,18.0,146.0,0.0,3913.0,100.0,5640.0,300.0,0.1346,6439.0,9.722322687984895e-06,0.007652344846953103,4,3
Ireland,5233461.0,620544000000.0,1754400500.0,3630000000000.0,2407392.0,7557.0,1720.0,690.0,7705.0,800.0,23.0,0.0,0.0,5.0,8.0,8.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0661,31.0,1.2877005489758212e-05,0.002827197587922855,94,93
Uruguay,3425330.0,108502000000.0,1903440000.0,54450000000.0,1575652.0,24000.0,0.0,2850.0,15450.0,5700.0,43.0,6.0,0.0,6.0,12.0,12.0,5.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,62.0,16.0,83.0,4.0,2.1537,121.0,7.679360671011111e-05,0.017542902434978157,97,96
Romania,18148155.0,774376000000.0,10230630000.0,145200000000.0,9437041.0,90000.0,55000.0,11700.0,39250.0,6800.0,148.0,0.0,29.0,13.0,66.0,44.0,2.0,0.0,0.0,18.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,7.0,451.0,0.0,720.0,243.0,0.9558,617.0,6.538066328206056e-05,0.013211450251557382,52,51
Senegal,18847519.0,83183000000.0,777800000.0,14985000000.0,7162057.0,17000.0,0.0,1000.0,15460.0,500.0,39.0,0.0,0.0,5.0,19.0,22.0,1.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,20.0,6.0,2.8925,43.0,6.003861739720865e-06,0.009350468244713464,126,125
Sweden,10589835.0,668628000000.0,15900000000.0,1102693570000.0,4235934.0,25600.0,34000.0,8255.0,15300.0,2100.0,172.0,0.0,73.0,6.0,53.0,36.0,3.0,0.0,1.0,279.0,0.0,0.0,0.0,0.0,7.0,4.0,116.0,8.0,110.0,24.0,0.0,0.0,0.4834,561.0,0.00013243832410986573,0.02378003912489456,26,25
Kosovo,1977093.0,25019000000.0,1177450000.0,785739000.0,917371.0,4000.0,5000.0,0.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8041,0.0,0.0,0.04706223270314561,138,137
Peru,32600249.0,535911000000.0,2552000000.0,38102000000.0,15648120.0,120000.0,386000.0,12100.0,92500.0,26000.0,252.0,22.0,15.0,39.0,112.0,68.0,12.0,16.0,0.0,78.0,0.0,0.0,0.0,7.0,8.0,6.0,13.0,0.0,355.0,12.0,290.0,61.0,0.8827,685.0,4.3775226672597095e-05,0.004761984732539545,50,49
Myanmar,57527139.0,287559000000.0,2815031361.0,8748000000.0,30489384.0,228000.0,19000.0,25000.0,255000.0,30000.0,331.0,20.0,70.0,33.0,86.0,120.0,5.0,9.0,0.0,239.0,0.0,0.0,0.0,6.0,3.0,3.0,146.0,2.0,1040.0,225.0,1680.0,1520.0,0.6265,1610.0,5.280526494074134e-05,0.00978940447351674,35,34
Zambia,20799116.0,79207000000.0,385321000.0,16597000000.0,7279691.0,15150.0,0.0,3745.0,13250.0,0.0,78.0,0.0,0.0,13.0,33.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,12.0,60.0,50.0,2.4461,153.0,2.1017375600145667e-05,0.004864734177534814,111,110
Laos,7953556.0,66905000000.0,355600000.0,9619000000.0,3499565.0,100000.0,30000.0,500.0,130000.0,2000.0,29.0,0.0,0.0,2.0,20.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,50.0,97.0,64.0,2.8672,189.0,5.4006712262809806e-05,0.005314998879007548,125,124
Hungary,9855745.0,389207000000.0,5887250000.0,151250000000.0,4632200.0,41600.0,20000.0,5750.0,32000.0,0.0,80.0,0.0,12.0,3.0,50.0,17.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,24.0,295.0,0.0,1.0429,300.0,6.476404300332455e-05,0.015126269568635713,57,56
Italy,60964931.0,3133000000000.0,37325165000.0,3025000000000.0,27434219.0,165500.0,18300.0,43000.0,97755.0,30000.0,714.0,65.0,88.0,31.0,352.0,152.0,22.0,37.0,8.0,285.0,2.0,0.0,3.0,14.0,0.0,8.0,15.0,10.0,203.0,64.0,108.0,21.0,0.2211,1202.0,4.3813895339976694e-05,0.011913554101500159,10,9
Bulgaria,6782659.0,219645000000.0,2485350000.0,14277000000.0,3187850.0,36950.0,3000.0,8500.0,39950.0,4450.0,71.0,5.0,11.0,6.0,23.0,26.0,0.0,4.0,0.0,45.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,17.0,334.0,48.0,24.0,24.0,1.2522,450.0,0.00014116097056009536,0.011315304240934234,62,61
Kenya,58246378.0,328632000000.0,1651803025.0,31451000000.0,21551160.0,50000.0,0.0,4175.0,50000.0,2500.0,154.0,0.0,17.0,21.0,84.0,30.0,2.0,2.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,188.0,18.0,53.0,0.0,1.8588,369.0,1.7122048186733337e-05,0.005026300010345919,84,83
Uganda,49283041.0,144137000000.0,1510000000.0,10469000000.0,16756234.0,45000.0,0.0,1200.0,43800.0,0.0,51.0,0.0,6.0,3.0,30.0,12.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.0,6.0,26.0,12.0,2.3252,310.0,1.850057715832806e-05,0.010476144223898098,107,106
Switzerland,8860574.0,741035000000.0,8372658426.0,2420000000000.0,3898653.0,147178.0,0.0,20000.0,127178.0,0.0,141.0,0.0,40.0,16.0,39.0,43.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,133.0,0.0,0.0,0.8396,275.0,7.053718297063114e-05,0.011298600506048972,46,45
